ReportingNode,Metric,UBF,Percentile,Const,X.Coeff
LA1,Wet_BFL_Mag_10,UBF0,p90,6.028019167,0.97194679
LA1,Wet_BFL_Mag_10,UBF100,p90,80.53495667,1.032180304
LA1,Wet_BFL_Mag_10,UBF50,p90,43.57101167,0.990909053
LA11,DS_Mag_50,UBF0,p10,1.424358333,0.907889678
LA11,DS_Mag_50,UBF100,p10,11.52630833,0.930843111
LA11,DS_Mag_50,UBF50,p10,7.2325,0.90223211
LA11,DS_Mag_50,UBF0,p50,1.500695833,0.992023466
LA11,DS_Mag_50,UBF100,p50,15.44792917,0.973963833
LA11,DS_Mag_50,UBF50,p50,9.043575,0.989164012
LA11,DS_Mag_50,UBF0,p90,1.8197125,1.089356377
LA11,DS_Mag_50,UBF100,p90,20.4734875,1.049714502
LA11,DS_Mag_50,UBF50,p90,11.226575,1.065409896
LA11,Wet_BFL_Mag_10,UBF0,p10,1.508924167,0.877071002
LA11,Wet_BFL_Mag_10,UBF100,p10,11.55949583,0.860520285
LA11,Wet_BFL_Mag_10,UBF50,p10,6.434245833,0.897710758
LA11,Wet_BFL_Mag_10,UBF0,p50,1.847085,0.946765283
LA11,Wet_BFL_Mag_10,UBF100,p50,22.2417125,0.949244137
LA11,Wet_BFL_Mag_10,UBF50,p50,13.37696167,0.955005103
LA11,Wet_BFL_Mag_10,UBF0,p90,2.207846667,0.979230885
LA11,Wet_BFL_Mag_10,UBF100,p90,31.13563917,0.987035771
LA11,Wet_BFL_Mag_10,UBF50,p90,17.2935775,0.98712005
LA13,DS_Mag_50,UBF0,p10,-0.017754167,0.908978535
LA13,DS_Mag_50,UBF100,p10,9.948929167,0.947863587
LA13,DS_Mag_50,UBF50,p10,5.883629167,0.905915298
LA13,DS_Mag_50,UBF0,p50,0.200066667,0.972687005
LA13,DS_Mag_50,UBF100,p50,13.96735,0.941584233
LA13,DS_Mag_50,UBF50,p50,7.3975,0.944951348
LA13,DS_Mag_50,UBF0,p90,0.2375625,1.069487095
LA13,DS_Mag_50,UBF100,p90,18.70959583,1.037973193
LA13,DS_Mag_50,UBF50,p90,9.854983333,1.035549228
LA13,Wet_BFL_Mag_10,UBF0,p10,0.016876667,0.877785532
LA13,Wet_BFL_Mag_10,UBF100,p10,9.995950833,0.912267194
LA13,Wet_BFL_Mag_10,UBF50,p10,5.1134525,0.932263661
LA13,Wet_BFL_Mag_10,UBF0,p50,0.354046667,0.967654362
LA13,Wet_BFL_Mag_10,UBF100,p50,20.3473675,1.044951905
LA13,Wet_BFL_Mag_10,UBF50,p50,11.91698917,0.98545207
LA13,Wet_BFL_Mag_10,UBF0,p90,0.621583333,1.007369839
LA13,Wet_BFL_Mag_10,UBF100,p90,29.68133667,0.951862105
LA13,Wet_BFL_Mag_10,UBF50,p90,16.0536325,0.971300463
LA14,DS_Mag_50,UBF0,p10,0.170541667,0.917579994
LA14,DS_Mag_50,UBF100,p10,9.44955,0.933086395
LA14,DS_Mag_50,UBF50,p10,4.9495625,0.9201991
LA14,DS_Mag_50,UBF0,p50,0.383633333,0.983570629
LA14,DS_Mag_50,UBF100,p50,13.252875,0.939838355
LA14,DS_Mag_50,UBF50,p50,7.4905875,0.954723378
LA14,DS_Mag_50,UBF0,p90,0.543754167,1.070049625
LA14,DS_Mag_50,UBF100,p90,17.64607083,1.060362403
LA14,DS_Mag_50,UBF50,p90,9.186495833,1.050201659
LA14,Wet_BFL_Mag_10,UBF0,p10,0.1094,0.8781502
LA14,Wet_BFL_Mag_10,UBF100,p10,8.310695,0.960058025
LA14,Wet_BFL_Mag_10,UBF50,p10,4.453468333,0.933078215
LA14,Wet_BFL_Mag_10,UBF0,p50,0.443888333,0.968354829
LA14,Wet_BFL_Mag_10,UBF100,p50,18.47411667,1.021539367
LA14,Wet_BFL_Mag_10,UBF50,p50,10.76044583,0.986910146
LA14,Wet_BFL_Mag_10,UBF0,p90,0.7274475,1.00785122
LA14,Wet_BFL_Mag_10,UBF100,p90,26.46640083,0.964623357
LA14,Wet_BFL_Mag_10,UBF50,p90,14.34901,0.965180208
LA2,DS_Mag_50,UBF0,p10,3.091908333,0.901283573
LA2,DS_Mag_50,UBF100,p10,47.57773333,1.041709256
LA2,DS_Mag_50,UBF50,p10,25.611725,1.034157911
LA2,DS_Mag_50,UBF0,p50,3.141541667,0.984314288
LA2,DS_Mag_50,UBF100,p50,60.73215,0.944207167
LA2,DS_Mag_50,UBF50,p50,31.609775,0.978914754
LA2,DS_Mag_50,UBF0,p90,3.387308333,1.094121121
LA2,DS_Mag_50,UBF100,p90,76.14559167,0.965330335
LA2,DS_Mag_50,UBF50,p90,39.77662917,0.971854309
LA2,Wet_BFL_Mag_10,UBF0,p10,3.2350975,0.858052131
LA2,Wet_BFL_Mag_10,UBF100,p10,47.9661075,0.937117617
LA2,Wet_BFL_Mag_10,UBF50,p10,26.15097667,0.903019532
LA2,Wet_BFL_Mag_10,UBF0,p50,3.5357975,0.968408499
LA2,Wet_BFL_Mag_10,UBF100,p50,59.81131417,0.96643891
LA2,Wet_BFL_Mag_10,UBF50,p50,33.0952125,0.954534473
LA2,Wet_BFL_Mag_10,UBF0,p90,6.028019167,0.97194679
LA2,Wet_BFL_Mag_10,UBF100,p90,81.7953725,1.011980674
LA2,Wet_BFL_Mag_10,UBF50,p90,43.57187417,0.990823949
LA20,DS_Mag_50,UBF0,p10,0,NA
LA20,DS_Mag_50,UBF100,p10,1.78435,NA
LA20,DS_Mag_50,UBF50,p10,0.850175,NA
LA20,DS_Mag_50,UBF0,p50,0,NA
LA20,DS_Mag_50,UBF100,p50,4.35965,NA
LA20,DS_Mag_50,UBF50,p50,2.28175,NA
LA20,DS_Mag_50,UBF0,p90,0,NA
LA20,DS_Mag_50,UBF100,p90,7.33615,NA
LA20,DS_Mag_50,UBF50,p90,3.659225,NA
LA20,Wet_BFL_Mag_10,UBF0,p10,0,NA
LA20,Wet_BFL_Mag_10,UBF100,p10,0.694055,NA
