"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2012",180,225,0,0,9,80.8124718160481,4,0.932558139534884,13,38.8906,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891.56022,216.1075,644.83066,NA,NA,NA,"F37B",0
"2013",NA,232,NA,NA,7,25.3903432923596,10,0.973419540229885,11,23.0414,221,182,0,0.0011,39,NA,NA,NA,NA,NA,NA,891.56022,216.1075,644.83066,NA,NA,NA,"F37B",0
"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F37B",0
"2015",190,240,0,0.00268999999999999,7,47.9460387438789,31,0.82851612335577,17,36.5674,223,172,0,1.4698e-08,51,NA,72,NA,NA,1,NA,891.56022,216.1075,644.83066,NA,1,NA,"F37B",0
"2016",209,228,0,0.133540000000001,7,13.5651553822651,4,0.947174731243976,34,15.3579,194,130,0,0.0065,64,NA,97,NA,NA,1,NA,891.56022,216.1075,644.83066,NA,1,NA,"F37B",0
"2017",210,227,0,0.13017,5,37.4360738371454,16,0.859656806359055,84,622.9145,143,72,0.01391,3.2022,71,NA,113,113,NA,3,1,891.56022,216.1075,644.83066,NA,3,1,"F37B",0
"2011",193,182,0.07,0.17,4,2.72479913230461,4,0.922316282131582,98,7391.9337,84,22,0.73771,1.07535,62,NA,86,79,NA,7,2,10065.53222,347.1336,6295.31982,NA,3,1,"F45B",0
"2012",NA,222,NA,NA,6,1908.79611994554,4,0.143599203844847,10,54.3902,212,203,0.02,0.2034,9,NA,4,NA,NA,1,NA,10065.53222,347.1336,6295.31982,NA,1,NA,"F45B",0
"2013",170,244,0.05,0.12816,6,346.769113553804,10,0.298469387755102,23,56.8284,221,NA,NA,NA,NA,NA,10,NA,NA,1,NA,10065.53222,347.1336,6295.31982,NA,1,NA,"F45B",0
"2014",194,196,0.0098,0.07056,NA,NA,NA,0.403873308017683,42,271.0825,154,106,0,0.03605,48,NA,NA,NA,NA,NA,NA,10065.53222,347.1336,6295.31982,NA,NA,NA,"F45B",0
