p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP0_UBF100
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP0_UBF50
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP100_UBF0
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP100_UBF100
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP100_UBF50
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP50_UBF0
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP50_UBF100
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP50_UBF50
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP0_UBF0
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP0_UBF100
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP0_UBF50
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP100_UBF0
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP100_UBF100
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP100_UBF50
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP50_UBF0
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP50_UBF100
0,0.00421,0.01842,0.05513,0.402275,Wet_BFL_Mag_10,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP50_UBF50
3.041175,3.0782625,3.15145,3.1880375,3.2618,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP0_UBF0
14.596925,17.184475,17.8834,18.624625,22.41585,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP0_UBF100
8.91615,10.2711,10.62455,10.943125,12.849925,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP0_UBF50
63.63345,65.769775,69.4768,74.80075,76.116325,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP100_UBF0
74.666375,77.1605875,84.67385,88.806225,92.46415,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP100_UBF100
69.1685,70.75935,76.7621,81.6167875,84.122225,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP100_UBF50
33.35635,34.3248625,36.222375,38.9198,40.20375,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP50_UBF0
44.467425,47.232375,51.54115,52.8964625,56.7824,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP50_UBF100
38.83345,40.146325,43.70725,45.9908875,48.470275,DS_Mag_50,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP50_UBF50
3.06422,3.1065,3.33836,3.612805,3.995405,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP0_UBF0
