scenario,dry_season,wet_season,spring
318,21.21993558,24.33951664,21.81765292
319,52.66200301,55.89379996,53.03971909
320,18.16620934,19.2332781,18.28302971
321,9.662521648,11.50389241,10.0388653
322,39.67812695,44.09650903,40.44982448
323,34.55822898,36.70540148,34.81208253
324,23.77093565,28.5741817,24.76224148
325,33.60440888,39.33197307,34.74421921
326,40.53838509,46.3072239,41.63287772
327,52.96800076,56.6929327,53.46442386
328,51.56244267,56.58042482,52.38897923
329,40.59551111,42.41257198,40.71846772
330,42.8723515,45.4528324,43.16719664
331,16.97854576,19.56278983,17.47667034
332,47.37037858,51.98904489,48.12913748
333,18.36748584,20.08635784,18.64257291
334,48.13054075,52.03027034,48.70865982
335,52.51432229,56.99186773,53.20021971
336,11.93639183,14.12814638,12.3774547
337,12.01308854,13.6451466,12.31822228
338,13.92313768,17.2314407,14.62292036
339,35.43367938,38.17821356,35.82866611
340,18.71274004,20.32828645,18.96005017
341,13.29463446,17.51513816,14.22654271
342,19.13230619,23.99520398,20.17383091
343,36.64326574,40.4718585,37.29152911
344,32.50963508,37.97568097,33.59539807
345,30.04703269,33.27861841,30.6010818
346,28.43551785,35.30079524,29.89516994
347,54.40592209,59.96538993,55.34181208
348,58.92241091,63.29458611,59.53046084
349,17.48688677,21.56381525,18.34886849
350,24.38337361,26.3399969,24.67104082
351,23.94878147,29.82134774,25.20224774
352,40.63729464,42.36182743,40.74045852
353,60.3102659,65.17516173,61.02806107
354,24.85241693,26.111938,24.96390047
355,39.07935232,43.95675246,39.96957722
356,27.46695249,31.8806886,28.3319439
357,14.13761201,16.71608389,14.65758278
358,20.14618463,22.8335797,20.64553306
359,12.33322639,15.52311595,13.0194482
360,19.18161549,19.36201231,19.07420083
361,45.79961225,50.96499869,46.70423547
362,29.98998139,34.27092144,30.80252643
363,12.52125907,15.66764347,13.19436318
364,30.32069704,31.8087121,30.44455911
365,15.32041075,17.47455295,15.72589153
366,53.07117856,57.41688304,53.72000732
