"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2016",206,230,-0.07425,0.7799,2,159.11582097284,4,0.901191195250538,35,265.0271,195,129,-0.03966,0.1282,66,NA,NA,NA,NA,NA,NA,8857.3517,3412.7717,7320.08154,NA,NA,NA,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",209,227,0.1501,1.36482,3,232.722455275078,16,0.29610914603335,84,7382.5675,143,73,1.10502,5.2421,70,NA,113,139,NA,3,1,8857.3517,3412.7717,7320.08154,NA,3,1,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,240,NA,NA,1,158.065861685172,3,0.877240388562047,66,11109.5234,174,113,0.36122,2.3598,61,170,124.5,170,1,2,1,8891.18042,3431.233,7350.34824,1,2,1,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",179,222,0.4849,1.64004,3,1874.60397630774,4,0.742581150465582,23,2671.3905,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8891.18042,3431.233,7350.34824,NA,NA,NA,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",272,231,0.17255,0.834920000000001,4,192.762819014727,10,0.613412009203592,10,756.8743,221,186,0.05305,0.3571,35,NA,NA,NA,NA,NA,NA,8891.18042,3431.233,7350.34824,NA,NA,NA,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,193,0.1533,0.32772,3,98.6499673200954,8,0.449906876598692,39,7102.6008,154,17,0.28164,0.3903,137,NA,150,NA,NA,1,NA,8891.18042,3431.233,7350.34824,NA,1,NA,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,238,0.0997,0.61785,2,450.998227601921,31,0.444000967585873,83,1444.8586,155,105,0.14554,0.3302,50,NA,72,NA,NA,1,NA,8891.18042,3431.233,7350.34824,NA,1,NA,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",206,230,0.0696,0.7865,2,161.429587448483,4,0.441748318140349,35,265.9426,195,129,0.0498,0.1531,66,NA,NA,NA,NA,NA,NA,8891.18042,3431.233,7350.34824,NA,NA,NA,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",209,227,0.1998,1.36482,3,233.500885461047,16,0.292653552790044,84,7412.2851,143,73,1.10508,5.2421,70,NA,113,139,NA,3,1,8891.18042,3431.233,7350.34824,NA,3,1,"GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,240,NA,NA,1,169.146730750774,3,0.592632913386699,66,11274.9471,174,113,1.86866,3.8372,61,170,124.5,170,1,2,1,9053.35782,3519.8579,7512.41808,1,2,1,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",179,222,1.7552,3.0315,3,1941.16940119737,4,0.346161382607673,23,2719.1871,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9053.35782,3519.8579,7512.41808,NA,NA,NA,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",272,231,1.56265,2.53407,4,209.539211203087,10,0.028412515147163,10,773.6575,221,186,1.43095,1.8244,35,NA,NA,NA,NA,NA,NA,9053.35782,3519.8579,7512.41808,NA,NA,NA,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,193,1.5084,1.71096,3,100.293194901037,8,0.100203731277524,39,7272.8972,154,17,1.75904,1.8677,137,NA,150,NA,NA,1,NA,9053.35782,3519.8579,7512.41808,NA,1,NA,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,238,1.44645,2.05731,2,475.68708130937,31,0.0230566979033237,83,1469.6033,155,105,1.63818,1.8184,50,NA,72,NA,NA,1,NA,9053.35782,3519.8579,7512.41808,NA,1,NA,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",206,230,1.41465,2.29465,2,172.886258291021,4,0.0519270466795048,35,272.0158,195,129,1.5354,1.6229,66,NA,NA,NA,NA,NA,NA,9053.35782,3519.8579,7512.41808,NA,NA,NA,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",209,227,1.5494,2.6397,3,238.376124810829,16,0.0777202072538861,84,7572.2983,143,73,2.62662,6.7195,70,NA,113,139,NA,3,1,9053.35782,3519.8579,7512.41808,NA,3,1,"LA11","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,240,NA,NA,1,192.495348239603,3,0.522628098659516,66,11665.3973,174,113,3.66526,5.5336,61,170,124.5,170,1,2,1,9398.19482,3804.7648,7843.48432,1,2,1,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",195,206,3.3386,4.92156,3,2134.10683587606,4,0.164149517539653,7,2817.7319,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9398.19482,3804.7648,7843.48432,NA,NA,NA,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",272,231,3.19415,4.31794,4,311.082206672471,10,0.0132895040805194,10,828.9168,221,186,3.06035,3.5142,35,NA,NA,NA,NA,NA,NA,9398.19482,3804.7648,7843.48432,NA,NA,NA,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,193,3.1332,3.3825,3,103.164278739334,8,0.0527278195726581,39,7670.5156,154,17,3.45544,3.5641,137,NA,150,NA,NA,1,NA,9398.19482,3804.7648,7843.48432,NA,1,NA,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,238,3.05995,3.75419,2,528.175124430566,31,0.0101813903488881,83,1510.0678,155,105,3.344,3.5264,50,NA,72,NA,NA,1,NA,9398.19482,3804.7648,7843.48432,NA,1,NA,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",205,230,3.0224,4.01584,2,217.957914525397,4,0.0278167036408469,35,296.8565,195,129,3.22128,3.3217,66,NA,NA,NA,NA,NA,NA,9398.19482,3804.7648,7843.48432,NA,NA,NA,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",208,227,3.17005,4.23046,3,250.413399381334,16,0.042625325992466,84,7886.7265,143,74,4.32359,8.11635,69,NA,113,139,NA,3,1,9398.19482,3804.7648,7843.48432,NA,3,1,"F57C","Aggressive_non_Infiltration_WRP0_UBF0"
