"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
0.0139955352846185,0.017198368489072,0.0196732310217136,0.0274007516259606,0.0406971083461432,"SP_ROC",22518268,"observed","SWMM
","F34D"
20.4,32.5,59,74.5,83,"SP_Dur",22518268,"observed","SWMM
","F34D"
702.34772,1057.51315,1410.7205,6659.8118,9921.42842,"SP_Mag",22518268,"observed","SWMM
","F34D"
149.6,164.5,195,216.5,224.2,"SP_Tim",22518268,"observed","SWMM
","F34D"
47,84,121,167,192.5,"Wet_BFL_Dur",22518268,"observed","SWMM
","F34D"
116.141005,116.5409425,119.95303,132.22558,143.303055,"Wet_BFL_Mag_10",22518268,"observed","SWMM
","F34D"
131.111825,134.7275,143.6507,162.4707875,169.28755,"Wet_BFL_Mag_50",22518268,"observed","SWMM
","F34D"
32.5,52,64,68.5,101.5,"Wet_Tim",22518268,"observed","SWMM
","F34D"
170,170,170,170,170,"Peak_Tim_10",22518268,"observed","SWMM
","F34D"
75,79.5,104,132,142.8,"Peak_Tim_2",22518268,"observed","SWMM
","F34D"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22518268,"observed","SWMM
","F34D"
1,1,1,1,1,"Peak_Dur_10",22518268,"observed","SWMM
","F34D"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22518268,"observed","SWMM
","F34D"
1,1,1,1,1,"Peak_Dur_5",22518268,"observed","SWMM
","F34D"
11555.76716,11555.76716,11555.76716,11555.76716,11555.76716,"Peak_10",22518268,"observed","SWMM
","F34D"
5621.1507,5621.1507,5621.1507,5621.1507,5621.1507,"Peak_2",22518268,"observed","SWMM
","F34D"
9947.80294,9947.80294,9947.80294,9947.80294,9947.80294,"Peak_5",22518268,"observed","SWMM
","F34D"
1,1,1,1,1,"Peak_Fre_10",22518268,"observed","SWMM
","F34D"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22518268,"observed","SWMM
","F34D"
1,1,1,1,1,"Peak_Fre_5",22518268,"observed","SWMM
","F34D"
183,187.5,199.5,209.25,209.7,"DS_Dur_WS",22518110,"observed","SWMM
","F37B"
226,227.25,230,236.5,239,"DS_Tim",22518110,"observed","SWMM
","F37B"
0,0,0,0,0,"DS_Mag_50",22518110,"observed","SWMM
","F37B"
0.000806999999999999,0.0020175,0.0664299999999999,0.1310125,0.132529,"DS_Mag_90",22518110,"observed","SWMM
","F37B"
6,7,7,7,8,"FA_Dur",22518110,"observed","SWMM
","F37B"
19.4777493373123,27.259141746838,35.1508054737094,45.3185475171955,64.3792552799635,"FA_Mag",22518110,"observed","SWMM
","F37B"
4,4.25,7.5,14.5,23.5,"FA_Tim",22518110,"observed","SWMM
","F37B"
0.844086464857412,0.875370663496861,0.927535187222581,0.943520583316703,0.960297135736931,"SP_ROC",22518110,"observed","SWMM
","F37B"
12,14,25.5,55.75,73.5,"SP_Dur",22518110,"observed","SWMM
","F37B"
19.19965,26.4229,37.729,69.490825,351.3027,"SP_Mag",22518110,"observed","SWMM
","F37B"
159,179.75,203,218.75,222,"SP_Tim",22518110,"observed","SWMM
","F37B"
88.4,113,130,172,178,"Wet_BFL_Dur",22518110,"observed","SWMM
","F37B"
0,0,0,0,0.008346,"Wet_BFL_Mag_10",22518110,"observed","SWMM
","F37B"
0.0004400088188,0.0011,0.0065,0.1436,1.97876,"Wet_BFL_Mag_50",22518110,"observed","SWMM
","F37B"
43.8,51,62,64,68.2,"Wet_Tim",22518110,"observed","SWMM
","F37B"
79,79,79,79,79,"Peak_Tim_10",22518110,"observed","SWMM
","F37B"
75,79.5,89.5,101,108.2,"Peak_Tim_2",22518110,"observed","SWMM
","F37B"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518110,"observed","SWMM
","F37B"
1,1,1,1,1,"Peak_Dur_10",22518110,"observed","SWMM
","F37B"
1,1,2,3.25,3.7,"Peak_Dur_2",22518110,"observed","SWMM
","F37B"
1,1,1,1,1,"Peak_Dur_5",22518110,"observed","SWMM
","F37B"
891.56022,891.56022,891.56022,891.56022,891.56022,"Peak_10",22518110,"observed","SWMM
","F37B"
216.1075,216.1075,216.1075,216.1075,216.1075,"Peak_2",22518110,"observed","SWMM
","F37B"
644.83066,644.83066,644.83066,644.83066,644.83066,"Peak_5",22518110,"observed","SWMM
","F37B"
1,1,1,1,1,"Peak_Fre_10",22518110,"observed","SWMM
","F37B"
1,1,2,3,3,"Peak_Fre_2",22518110,"observed","SWMM
","F37B"
1,1,1,1,1,"Peak_Fre_5",22518110,"observed","SWMM
","F37B"
181.5,193.25,223,283.5,303,"DS_Dur_WS",22518270,"observed","SWMM
","F45B"
162.8,176,196,209.5,230.8,"DS_Tim",22518270,"observed","SWMM
","F45B"
0.0149,0.02,0.025,0.045,0.06,"DS_Mag_50",22518270,"observed","SWMM
","F45B"
0.05,0.06264,0.089105,0.1230325,0.14908,"DS_Mag_90",22518270,"observed","SWMM
","F45B"
3.3,3.75,5,6,6,"FA_Dur",22518270,"observed","SWMM
","F45B"
13.2663900695244,29.078776475354,192.316274571754,737.275865151738,1440.18801802802,"FA_Mag",22518270,"observed","SWMM
","F45B"
4,4,7,20,38,"FA_Tim",22518270,"observed","SWMM
","F45B"
0.207439681537939,0.274234693877551,0.395486388915992,0.479914993359022,0.70250052007285,"SP_ROC",22518270,"observed","SWMM
","F45B"
17.8,29,41,56,81.2,"SP_Dur",22518270,"observed","SWMM
","F45B"
52.04728,55.6093,84.1975,3831.5081,10065.53222,"SP_Mag",22518270,"observed","SWMM
","F45B"
93.6,108.5,154,184,215.6,"SP_Tim",22518270,"observed","SWMM
","F45B"
18,19.75,64,125.5,167.5,"Wet_BFL_Dur",22518270,"observed","SWMM
","F45B"
0,0.00421,0.01842,0.05513,0.402275,"Wet_BFL_Mag_10",22518270,"observed","SWMM
","F45B"
0.02,0.0240125,0.119725,0.8573625,4.279275,"Wet_BFL_Mag_50",22518270,"observed","SWMM
","F45B"
16.5,30,55,77.75,90.5,"Wet_Tim",22518270,"observed","SWMM
","F45B"
113,113,113,113,113,"Peak_Tim_10",22518270,"observed","SWMM
","F45B"
5.8,8.5,48,92.75,104.9,"Peak_Tim_2",22518270,"observed","SWMM
","F45B"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518270,"observed","SWMM
","F45B"
1,1,1,1,1,"Peak_Dur_10",22518270,"observed","SWMM
","F45B"
1,1,2.5,4.75,6.1,"Peak_Dur_2",22518270,"observed","SWMM
","F45B"
1.1,1.25,1.5,1.75,1.9,"Peak_Dur_5",22518270,"observed","SWMM
","F45B"
10065.53222,10065.53222,10065.53222,10065.53222,10065.53222,"Peak_10",22518270,"observed","SWMM
","F45B"
347.1336,347.1336,347.1336,347.1336,347.1336,"Peak_2",22518270,"observed","SWMM
","F45B"
6295.31982,6295.31982,6295.31982,6295.31982,6295.31982,"Peak_5",22518270,"observed","SWMM
","F45B"
1,1,1,1,1,"Peak_Fre_10",22518270,"observed","SWMM
","F45B"
1,1,2,3,3,"Peak_Fre_2",22518270,"observed","SWMM
","F45B"
1,1,1,1,1,"Peak_Fre_5",22518270,"observed","SWMM
","F45B"
185.5,193.75,198,201.5,202.5,"DS_Dur_WS",22515824,"observed","SWMM
","F57C"
218.6,226,236,255.5,284.2,"DS_Tim",22515824,"observed","SWMM
","F57C"
74.666975,77.1612125,84.67455,88.806925,92.46485,"DS_Mag_50",22515824,"observed","SWMM
","F57C"
81.523675,85.1197375,92.95693,94.22434,98.855155,"DS_Mag_90",22515824,"observed","SWMM
","F57C"
1.6,2,2,3,3.4,"FA_Dur",22515824,"observed","SWMM
","F57C"
273.292664731343,325.684987990362,350.017012493218,536.393814712482,1335.94017383494,"FA_Mag",22515824,"observed","SWMM
","F57C"
3.6,4,8,13,22,"FA_Tim",22515824,"observed","SWMM
","F57C"
0.0141800438532255,0.0166739388400849,0.0299216014378235,0.0445633923691267,0.0510136565215173,"SP_ROC",22515824,"observed","SWMM
","F57C"
18,29,58,86.5,95.4,"SP_Dur",22515824,"observed","SWMM
","F57C"
636.92102,902.43405,3039.0935,8084.006,9769.91326,"SP_Mag",22515824,"observed","SWMM
","F57C"
149.6,164,195,210,224.2,"SP_Tim",22515824,"observed","SWMM
","F57C"
48,89.75,129,168.25,183.5,"Wet_BFL_Dur",22515824,"observed","SWMM
","F57C"
76.945815,81.677475,94.41165,100.938735,107.474865,"Wet_BFL_Mag_10",22515824,"observed","SWMM
","F57C"
86.665625,95.0123,111.779175,118.5913375,134.4746,"Wet_BFL_Mag_50",22515824,"observed","SWMM
","F57C"
40.5,46.5,56.5,65.75,100.5,"Wet_Tim",22515824,"observed","SWMM
","F57C"
170,170,170,170,170,"Peak_Tim_10",22515824,"observed","SWMM
","F57C"
