"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
0.2567,0.3014,0.4045,0.516,0.6597,"DS_Mag_50",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
0.697335,0.7790725,0.85541,1.44948,1.75314,"DS_Mag_90",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1.6,2,3,3,3.4,"FA_Dur",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
35.6832988233212,60.1762916479851,76.2930291783409,237.565926338219,745.293585575338,"FA_Mag",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
3.6,4,5,12,22,"FA_Tim",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
0.24568130219955,0.303936960690316,0.366679418515685,0.553279619309324,0.718449196410656,"SP_ROC",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
17.2,28.5,39,61,72.4,"SP_Dur",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
446.30736,897.1694,2153.8921,5810.3849,7218.628,"SP_Mag",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
149.6,154.5,174,197,207.8,"SP_Tim",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
45,81,109,125,158,"Wet_BFL_Dur",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
0.09583,0.167085,0.2764,0.447455,0.87707,"Wet_BFL_Mag_10",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
0.41675,0.504075,0.56785,1.826075,3.54545,"Wet_BFL_Mag_50",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
42,52.75,63.5,69,103.5,"Wet_Tim",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
170,170,170,170,170,"Peak_Tim_10",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_10",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_5",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
7218.628,7218.628,7218.628,7218.628,7218.628,"Peak_10",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
2661.255,2661.255,2661.255,2661.255,2661.255,"Peak_2",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
5923.55516,5923.55516,5923.55516,5923.55516,5923.55516,"Peak_5",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_10",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_5",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
187,197.75,207.5,219.5,247.5,"DS_Dur_WS",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
209.8,224,230,234,238.2,"DS_Tim",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
0.1232,0.171075,0.2652,0.331575,0.4751,"DS_Mag_50",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
0.59274,0.7529225,0.91838,1.2998375,1.60179,"DS_Mag_90",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1.6,2,3,3,3.4,"FA_Dur",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
54.472345265681,103.532451879859,134.384159970265,303.48505973847,924.511643446121,"FA_Mag",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
3.6,4,5,12,22,"FA_Tim",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
0.0301147462087488,0.299407202836963,0.395526315789474,0.520142627620601,0.684423644372102,"SP_ROC",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
17.2,28.5,39,74,82.8,"SP_Dur",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
521.678,1051.72605,2548.3086,6834.29335,8442.82452,"SP_Mag",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
149.6,154.5,174,197,207.8,"SP_Tim",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
45,81,109,125,158,"Wet_BFL_Dur",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
0.00641,0.106,0.27531,0.38039,0.80217,"Wet_BFL_Mag_10",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
0.345,0.44405,0.4933,1.822125,3.8129,"Wet_BFL_Mag_50",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
42,52.75,63.5,69,103.5,"Wet_Tim",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
